cep,uf,cidade,bairro,logradouro,lat,lng,city_source,geo_source,updated_at
71020122,DF,Brasília,Guará I,Quadra QI 3 Conjunto L,-15.77972,-47.92972,brasilapi,open-meteo,2026-02-23T23:50:15.127Z
72210232,DF,Brasília,Ceilândia Norte (Ceilândia),Quadra QNM 22 Conjunto L,-15.77972,-47.92972,brasilapi,open-meteo,2026-02-23T23:50:14.671Z
72220255,DF,Brasília,Ceilândia Sul (Ceilândia),Quadra QNN 24 Conjunto O,-15.77972,-47.92972,brasilapi,open-meteo,2026-02-23T23:50:14.858Z
72231617,DF,Brasília,Ceilândia Sul (Ceilândia),Quadra QNP 16 Conjunto Q,-15.77972,-47.92972,brasilapi,open-meteo,2026-02-23T23:50:15.045Z
72583500,DF,Brasília,Setor Meireles (Santa Maria),Avenida Monumental,-15.77972,-47.92972,brasilapi,open-meteo,2026-02-23T23:50:15.233Z
72878201,GO,Valparaíso de Goiás,Cidade Jardins,Quadra QC 01 Conjunto A,-16.06583,-47.97861,brasilapi,open-meteo,2026-02-23T23:50:15.509Z
74030060,GO,Goiânia,Setor Central,Rua 24,-16.6766761,-49.2512199,brasilapi,brasilapi,2026-02-23T23:50:15.421Z
76861000,RO,Itapuã do Oeste,,,-9.189646,-63.1910097,brasilapi,brasilapi,2026-02-23T23:50:15.642Z
77300000,TO,Dianópolis,,,-11.624008,-46.819787,brasilapi,brasilapi,2026-02-23T23:50:15.705Z
77360000,TO,Paranã,,,-6.3,-38.46667,brasilapi,open-meteo,2026-02-23T23:50:16.053Z
77895000,TO,Nazaré,,,-6.3733313,-47.6632702,brasilapi,brasilapi,2026-02-23T23:50:15.906Z
77970000,TO,Praia Norte,,,-5.392812,-47.811144,brasilapi,brasilapi,2026-02-23T23:50:16.106Z
78070000,MT,Cuiabá,Jardim Petrópolis,Avenida Fernando Correa da Costa,-15.59611,-56.09667,brasilapi,open-meteo,2026-02-23T23:50:16.281Z
78099047,MT,Cuiabá,Pedra 90,Rua D,-15.6196764,-55.9524143,brasilapi,brasilapi,2026-02-23T23:50:16.242Z
78304130,MT,Tangará da Serra,Parque Tangará,Rua Valdemar José da Cruz,-14.61944,-57.48583,brasilapi,open-meteo,2026-02-23T23:50:16.471Z
78320000,MT,Juína,,,-11.4230908,-58.7570212,brasilapi,brasilapi,2026-02-23T23:50:16.465Z
78590000,MT,Paranaíta,,,-9.6655602,-56.4758122,brasilapi,brasilapi,2026-02-23T23:50:16.486Z
78714226,MT,Rondonópolis,Jardim Gramado II,Rua Maracaju,-16.4391704,-54.6347276,brasilapi,brasilapi,2026-02-23T23:50:16.651Z
78890000,,,,,,,,,2026-02-23T23:50:48.487Z
79100370,MS,Campo Grande,Santo Antônio,Rua Doutor Napoleão Laureano,-20.4531996,-54.654966,brasilapi,brasilapi,2026-02-23T23:50:16.682Z
